system,n,m,seed,run_type,init_kind,objective,initial_required_gain,best_required_gain,final_required_gain,min_pairwise_distance,max_pairwise_distance,steps_run,restart_count,converged,stopped_reason,system_label,reported_value
AdjacentSwap,8,2,4.0,random_optimization,random_gaussian,generic,6.782884290336094,1.6054570473231191,1.6068960153689942,1.0,5.575010911051978,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,2,5.0,random_optimization,random_gaussian,generic,11.944284893436404,1.5894483068627707,1.5916272722164788,1.0000000000000004,8.782073675889722,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,2,6.0,random_optimization,random_gaussian,generic,11.456551223273998,1.611154215596036,1.6135407860155588,1.0,12.643942929658689,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,2,7.0,random_optimization,random_gaussian,generic,7.541685399088119,1.6566318974586254,1.6579863435743702,1.0,5.117246729858889,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,2,8.0,random_optimization,random_gaussian,generic,8.897123421241293,1.6089594440852164,1.611737423633258,1.0,6.020538148302415,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,2,9.0,random_optimization,random_gaussian,generic,4.63539420060931,1.560477598995624,1.5607630007671855,1.0,4.63250569079561,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,3,0.0,random_optimization,random_gaussian,generic,3.349273259668582,1.314289182230122,1.3183369159737632,1.0000000000000002,4.984090119471619,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,3,1.0,random_optimization,random_gaussian,generic,4.400256433505598,1.3158103877421945,1.321636752194035,1.0,5.932342148478142,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,3,2.0,random_optimization,random_gaussian,generic,2.172182837120483,1.3358037867172488,1.3365763987824697,1.0000000000000002,2.765135523303508,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,3,3.0,random_optimization,random_gaussian,generic,8.744824087300485,1.3446722764390628,1.344932413437115,1.0,3.99956841350192,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,3,4.0,random_optimization,random_gaussian,generic,7.147693930606357,1.3164384881029558,1.3193343555689638,1.0,5.279794984365489,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,3,5.0,random_optimization,random_gaussian,generic,7.7946012230710515,1.336456122305463,1.337615443243659,1.0,6.202183129979252,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,3,6.0,random_optimization,random_gaussian,generic,2.703556531706489,1.3713395983895895,1.372435025313509,1.0,2.563236579810506,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,3,7.0,random_optimization,random_gaussian,generic,2.9990651304796807,1.3169935666209212,1.319334355568963,1.0,5.247880453308324,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,3,8.0,random_optimization,random_gaussian,generic,5.521308946920946,1.3670392339882038,1.3700745235983307,1.0000000000000002,6.912371805893778,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,3,9.0,random_optimization,random_gaussian,generic,2.23368697931188,1.3295355160211533,1.330783624140434,1.0000000000000002,4.447705547985641,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,4,0.0,random_optimization,random_gaussian,generic,2.9614839532127566,1.2069968115990342,1.20702788197501,1.0,2.209146984231575,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,4,1.0,random_optimization,random_gaussian,generic,4.484207165580226,1.2327734680920954,1.2391140920547723,1.0000000000000002,3.795903477493981,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,4,2.0,random_optimization,random_gaussian,generic,2.2261820564616777,1.228246203945511,1.2302318459273394,1.0,2.633750053212636,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,4,3.0,random_optimization,random_gaussian,generic,5.265568380065022,1.2111680027308898,1.2125940260614647,1.0,2.716003022441055,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,4,4.0,random_optimization,random_gaussian,generic,3.262363774822377,1.211289613466873,1.212174522803645,1.0000000000000002,2.223979005235308,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,4,5.0,random_optimization,random_gaussian,generic,2.8889746009640227,1.2279391911495483,1.2302318459273396,1.0,2.6720676648837727,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,4,6.0,random_optimization,random_gaussian,generic,4.233805674722462,1.2629050981719927,1.2629050974799017,1.0,4.5076565848631045,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,4,7.0,random_optimization,random_gaussian,generic,2.799200704084827,1.2118749863168043,1.2125940260614645,1.0,2.7129191860793127,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,4,8.0,random_optimization,random_gaussian,generic,4.63798321312224,1.2513252106927968,1.2528758719749111,1.0000000000000002,1.7505187199760364,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,4,9.0,random_optimization,random_gaussian,generic,3.3779136535429206,1.2065334744207634,1.2070278819750102,1.0,2.2240083710332352,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,5,0.0,random_optimization,random_gaussian,generic,2.0260033780144115,1.149235455975347,1.149855561980094,1.0,1.955765154259658,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,5,1.0,random_optimization,random_gaussian,generic,3.207057168638895,1.1326005158433865,1.132970426598881,1.0,1.4862293954524102,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,5,2.0,random_optimization,random_gaussian,generic,2.562376554429365,1.136755733705611,1.1368198824221725,1.0,1.9440052408181872,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,5,3.0,random_optimization,random_gaussian,generic,3.2044396928025107,1.158435268410459,1.1598370048483562,1.0,1.6981791227161551,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,5,4.0,random_optimization,random_gaussian,generic,2.7908018902639324,1.1496819779405285,1.1498555619800943,0.9999999999999998,1.953351436949553,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,5,5.0,random_optimization,random_gaussian,generic,2.4503866032237256,1.14337160815903,1.145127867438454,1.0,2.1017196960226654,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,5,6.0,random_optimization,random_gaussian,generic,2.196328969389994,1.130922455790764,1.1311011533514306,1.0,1.4261614528931117,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,5,7.0,random_optimization,random_gaussian,generic,2.652734901836063,1.1497963742640906,1.1498555619800943,1.0,1.949264449527439,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,5,8.0,random_optimization,random_gaussian,generic,2.3256266736678928,1.1592854851027623,1.1598370048483562,1.0,1.7025061487049866,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,5,9.0,random_optimization,random_gaussian,generic,2.3849630082720195,1.1367523620750264,1.136819882422173,1.0000000000000002,1.943358957048936,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,8,6,0.0,random_optimization,random_gaussian,generic,3.933835599545173,1.0541776353569314,1.0548553588623484,1.0,1.3387808086697286,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
