system,system_label,n,m,theoretical_L1_threshold,best_optimized_gain,median_optimized_gain,optimized_gain_q1,optimized_gain_q3,optimized_gain_iqr,mean_optimized_gain,std_optimized_gain,analytic_construction_gain,analytic_construction_kind,best_available_upper_bound,best_solution_source,optimized_L1_feasible,analytic_L1_feasible,best_available_L1_feasible,optimized_result_interpretation
Cycle,Cycle,8,2,2,1.0000000001215807,1.0217129325499648,1.0012764015082205,1.1772848224671018,0.17600842095888125,1.1085737923194863,0.15403355065635882,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,True,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,8,3,2,1.0000000007492251,1.002136170177192,1.000028168544652,1.0032940547885534,0.00326588624390145,1.001832105424388,0.001606139059647448,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,True,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,8,4,2,1.0000000002683205,1.000000000929043,1.0000000006585132,1.0010623419958502,0.0010623413373369583,1.0004890474492305,0.000748225253583108,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,True,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,8,5,2,1.000000000254893,1.000000000952657,1.0000000006140275,1.000020837558356,2.0836944328417317e-05,1.000333830002337,0.0006594751170842706,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,True,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,8,6,2,1.000000000560756,1.000011436460294,1.0000042064453574,1.000014680170481,1.0473725123638644e-05,1.0000094467766283,6.165120422421525e-06,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,True,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,8,7,2,1.0000000000017268,1.000000000252904,1.0000000001443259,1.0000000006424996,4.981737244946771e-10,1.0000000003717773,3.2101347576854466e-10,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,True,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,1,2,2.917923293696054,4.7367192937878055,3.573859436309817,5.069153853355323,1.4952944170455065,4.364322861832634,0.9380730768553034,,,2.917923293696054,optimized,False,False,False,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,2,2,1.000000000300777,1.0062421547364364,1.001115224984097,1.2535595579651575,0.2524443329810604,1.1466482550549473,0.1979529705778287,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,True,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,3,2,1.0000000003808536,1.000039657042401,1.0000076070907866,1.0002175858999751,0.00020997880918849354,1.0003744944999415,0.0008035741004025634,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,True,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,4,2,1.0000167432727447,1.0000614391666494,1.0000445385636825,1.0015553521744578,0.001510813610775319,1.0008914180631214,0.001395714289158209,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,5,2,1.000000000147679,1.0000000005126068,1.000000000418476,1.000000000888955,4.704789891007977e-10,1.0001693145854982,0.0004788207993471075,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,True,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,6,2,1.0000000001068103,1.0000228673431173,1.000003356585745,1.0000304815396415,2.712495389656233e-05,1.0000242876394914,2.488023259887191e-05,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,True,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,7,2,1.000000000063593,1.000000000463911,1.0000000002685288,1.0000079483863213,7.94811779258886e-06,1.0000106186085191,1.7645941289121905e-05,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,True,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,8,2,1.000000000237008,1.000011488342846,1.000008259633742,1.0000163362547931,8.076621051067434e-06,1.0000111804674932,6.627194158802358e-06,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,True,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,9,2,1.0000000000204732,1.000000000403883,1.0000000002823315,1.0000000005328231,2.5049162744039677e-10,1.0000000004329188,2.587229230255156e-10,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,True,True,True,empirical upper bound on the dimension--gain profile
