system,system_label,n,m,theoretical_L1_threshold,best_optimized_gain,median_optimized_gain,optimized_gain_q1,optimized_gain_q3,optimized_gain_iqr,mean_optimized_gain,std_optimized_gain,analytic_construction_gain,analytic_construction_kind,best_available_upper_bound,best_solution_source,optimized_L1_feasible,analytic_L1_feasible,best_available_L1_feasible,optimized_result_interpretation
Cycle,Cycle,4,1,2,4.111535051224615,4.111535051224615,4.111535051224615,4.111535051224615,0.0,4.111535051224615,0.0,,,4.111535051224615,optimized,False,False,False,empirical upper bound on the dimension--gain profile
Cycle,Cycle,4,2,2,2.2523412927405566,2.2523412927405566,2.2523412927405566,2.2523412927405566,0.0,2.2523412927405566,0.0,1.0000000000000002,regular_polygon,1.0000000000000002,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,4,3,2,1.5589120565987942,1.5589120565987942,1.5589120565987942,1.5589120565987942,0.0,1.5589120565987942,0.0,1.0000000000000002,regular_polygon,1.0000000000000002,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,6,1,2,8.999595053019618,8.999595053019618,8.999595053019618,8.999595053019618,0.0,8.999595053019618,0.0,,,8.999595053019618,optimized,False,False,False,empirical upper bound on the dimension--gain profile
Cycle,Cycle,6,2,2,3.4571534487106614,3.4571534487106614,3.4571534487106614,3.4571534487106614,0.0,3.4571534487106614,0.0,1.0000000000000009,regular_polygon,1.0000000000000009,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,6,3,2,2.460518146282032,2.460518146282032,2.460518146282032,2.460518146282032,0.0,2.460518146282032,0.0,1.0000000000000009,regular_polygon,1.0000000000000009,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,6,4,2,1.8977564836684835,1.8977564836684835,1.8977564836684835,1.8977564836684835,0.0,1.8977564836684835,0.0,1.0000000000000009,regular_polygon,1.0000000000000009,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,6,5,2,1.4872390152580817,1.4872390152580817,1.4872390152580817,1.4872390152580817,0.0,1.4872390152580817,0.0,1.0000000000000009,regular_polygon,1.0000000000000009,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,8,1,2,11.19793367866126,11.19793367866126,11.19793367866126,11.19793367866126,0.0,11.19793367866126,0.0,,,11.19793367866126,optimized,False,False,False,empirical upper bound on the dimension--gain profile
Cycle,Cycle,8,2,2,5.845807320901532,5.845807320901532,5.845807320901532,5.845807320901532,0.0,5.845807320901532,0.0,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,8,3,2,2.7509453661834873,2.7509453661834873,2.7509453661834873,2.7509453661834873,0.0,2.7509453661834873,0.0,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,8,4,2,2.4919956919393416,2.4919956919393416,2.4919956919393416,2.4919956919393416,0.0,2.4919956919393416,0.0,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,8,5,2,1.9541646319990742,1.9541646319990742,1.9541646319990742,1.9541646319990742,0.0,1.9541646319990742,0.0,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,8,6,2,4.025308665498486,4.025308665498486,4.025308665498486,4.025308665498486,0.0,4.025308665498486,0.0,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,8,7,2,2.2188257997468153,2.2188257997468153,2.2188257997468153,2.2188257997468153,0.0,2.2188257997468153,0.0,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,1,2,32.50240379308196,32.50240379308196,32.50240379308196,32.50240379308196,0.0,32.50240379308196,0.0,,,32.50240379308196,optimized,False,False,False,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,2,2,31.53802539873116,31.53802539873116,31.53802539873116,31.53802539873116,0.0,31.53802539873116,0.0,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,3,2,4.611839295508623,4.611839295508623,4.611839295508623,4.611839295508623,0.0,4.611839295508623,0.0,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,4,2,2.525852794209221,2.525852794209221,2.525852794209221,2.525852794209221,0.0,2.525852794209221,0.0,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,5,2,2.5946386928245433,2.5946386928245433,2.5946386928245433,2.5946386928245433,0.0,2.5946386928245433,0.0,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,6,2,4.032608619271602,4.032608619271602,4.032608619271602,4.032608619271602,0.0,4.032608619271602,0.0,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,7,2,1.608860429802704,1.608860429802704,1.608860429802704,1.608860429802704,0.0,1.608860429802704,0.0,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,8,2,1.879597246561344,1.879597246561344,1.879597246561344,1.879597246561344,0.0,1.879597246561344,0.0,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,False,True,True,empirical upper bound on the dimension--gain profile
Cycle,Cycle,10,9,2,1.6905311606848616,1.6905311606848616,1.6905311606848616,1.6905311606848616,0.0,1.6905311606848616,0.0,1.0000000000000004,regular_polygon,1.0000000000000004,analytic,False,True,True,empirical upper bound on the dimension--gain profile
