system_public,system,n,m,best_optimized_gain,median_optimized_gain,optimized_gain_q1,optimized_gain_q3,optimized_gain_iqr,analytic_construction_gain,analytic_construction_kind,best_available_upper_bound,best_solution_source,theoretical_L1_threshold,optimized_L1_feasible,analytic_L1_feasible,best_available_L1_feasible,oracle_mse_at_L1_monotone_profile,oracle_selected_source_m,oracle_selected_seed,oracle_selected_hard_gain,oracle_selected_run_type,oracle_selected_init_kind,oracle_mse_at_L1_for_best_optimized_seed,oracle_best_optimized_seed,oracle_best_optimized_hard_gain,num_valid_restarts
Cycle,Cycle,8,2,1.00000000012158,1.02171293254996,1.00127640150822,1.1772848224671,0.176008420958881,1,regular_polygon,1,analytic,2,True,True,True,0,2,,1,analytic construction,regular_polygon,9.91418328938997e-21,8,1.00000000012158,10
Cycle,Cycle,8,3,1.00000000074923,1.00213617017719,1.00002816854465,1.00329405478855,0.0032658862439014,1,regular_polygon,1,analytic,2,True,True,True,0,2,,1,analytic construction,regular_polygon,3.0659516636783e-19,6,1.00000000074923,10
Cycle,Cycle,8,4,1.00000000026832,1.00000000092904,1.00000000065851,1.00106234199585,0.0010623413373369,1,regular_polygon,1,analytic,2,True,True,True,0,2,,1,analytic construction,regular_polygon,2.11344214495911e-20,9,1.00000000026832,10
Cycle,Cycle,8,5,1.00000000025489,1.00000000095266,1.00000000061403,1.00002083755836,2.08369443284173e-05,1,regular_polygon,1,analytic,2,True,True,True,0,2,,1,analytic construction,regular_polygon,2.33932842217017e-20,0,1.00000000025489,10
Cycle,Cycle,8,6,1.00000000056076,1.00001143646029,1.00000420644536,1.00001468017048,1.04737251236386e-05,1,regular_polygon,1,analytic,2,True,True,True,0,2,,1,analytic construction,regular_polygon,1.40942029521747e-19,0,1.00000000056076,10
Cycle,Cycle,8,7,1.00000000000173,1.0000000002529,1.00000000014433,1.0000000006425,4.98173724494677e-10,1,regular_polygon,1,analytic,2,True,True,True,0,2,,1,analytic construction,regular_polygon,0,4,1.00000000000173,10
Cycle,Cycle,10,1,2.91792329369605,4.73671929378781,3.57385943630982,5.06915385335532,1.49529441704551,,,2.91792329369605,optimized,2,False,False,False,,,,,,,,,,10
Cycle,Cycle,10,2,1.00000000030078,1.00624215473644,1.0011152249841,1.25355955796516,0.25244433298106,1,regular_polygon,1,analytic,2,True,True,True,,,,,,,,,,10
Cycle,Cycle,10,3,1.00000000038085,1.0000396570424,1.00000760709079,1.00021758589998,0.0002099788091884,1,regular_polygon,1,analytic,2,True,True,True,,,,,,,,,,10
Cycle,Cycle,10,4,1.00001674327274,1.00006143916665,1.00004453856368,1.00155535217446,0.0015108136107753,1,regular_polygon,1,analytic,2,False,True,True,,,,,,,,,,10
Cycle,Cycle,10,5,1.00000000014768,1.00000000051261,1.00000000041848,1.00000000088895,4.70478989100798e-10,1,regular_polygon,1,analytic,2,True,True,True,,,,,,,,,,10
Cycle,Cycle,10,6,1.00000000010681,1.00002286734312,1.00000335658574,1.00003048153964,2.71249538965623e-05,1,regular_polygon,1,analytic,2,True,True,True,,,,,,,,,,10
Cycle,Cycle,10,7,1.00000000006359,1.00000000046391,1.00000000026853,1.00000794838632,7.94811779258886e-06,1,regular_polygon,1,analytic,2,True,True,True,,,,,,,,,,10
Cycle,Cycle,10,8,1.00000000023701,1.00001148834285,1.00000825963374,1.00001633625479,8.07662105106743e-06,1,regular_polygon,1,analytic,2,True,True,True,,,,,,,,,,10
Cycle,Cycle,10,9,1.00000000002047,1.00000000040388,1.00000000028233,1.00000000053282,2.50491627440397e-10,1,regular_polygon,1,analytic,2,True,True,True,,,,,,,,,,10
