system,n,source_m,run_type,init_kind,seed,exact_hard_required_gain,gain_budget_L,oracle_mse_at_L1,oracle_num_actions,oracle_max_constraint_violation
Adjacent pair actions,8,5,random optimization,random_gaussian,9,1.13675236207503,1,0.00694714009371279,7,5.24535970214401e-12
Adjacent pair actions,8,6,random optimization,random_gaussian,0,1.05417763535693,1,0.000519459022087277,7,9.0161211829809e-12
Adjacent pair actions,8,6,random optimization,random_gaussian,1,1.05403277683459,1,0.000514274689630175,7,2.00017780116468e-12
Adjacent pair actions,8,6,random optimization,random_gaussian,2,1.05447543831307,1,0.000509578311056534,7,9.95692417404825e-12
Adjacent pair actions,8,6,random optimization,random_gaussian,3,1.05448626432967,1,0.00050754784494974,7,1.47237777525788e-11
Adjacent pair actions,8,6,random optimization,random_gaussian,4,1.05468364334477,1,0.000511217489278384,7,1.38133948723862e-12
Adjacent pair actions,8,6,random optimization,random_gaussian,5,1.09221362615415,1,0.0017397462644051,7,5.73274760995446e-12
Adjacent pair actions,8,6,random optimization,random_gaussian,6,1.09137673027574,1,0.00191485939377019,7,6.27853324886019e-12
Adjacent pair actions,8,6,random optimization,random_gaussian,7,1.05449249080793,1,0.000512044122975369,7,4.7661874447158e-12
Adjacent pair actions,8,6,random optimization,random_gaussian,8,1.09124818547408,1,0.00192717807452728,7,1.00519592649562e-11
Adjacent pair actions,8,6,random optimization,random_gaussian,9,1.05423553449894,1,0.000513953033496336,7,5.27999866051232e-12
Adjacent pair actions,8,7,random optimization,random_gaussian,0,1.00000000050981,1,1.48234411839633e-20,7,0
Adjacent pair actions,8,7,random optimization,random_gaussian,1,1.00000000094807,1,3.66434498755245e-20,7,0
Adjacent pair actions,8,7,random optimization,random_gaussian,2,1.00000000052122,1,2.38425366788908e-20,7,2.22044604925031e-16
Adjacent pair actions,8,7,random optimization,random_gaussian,3,1.00000000071305,1,5.5574424884232e-20,7,0
Adjacent pair actions,8,7,random optimization,random_gaussian,4,1.00000000051399,1,2.69092939214652e-20,7,0
Adjacent pair actions,8,7,random optimization,random_gaussian,5,1.0000000000053,1,0,7,0
Adjacent pair actions,8,7,random optimization,random_gaussian,6,1.00000000028152,1,5.07802766853454e-21,7,0
